gene_name,accession_id,gene_name_bait,accession_id_bait,P15336_model_1_multimer_score(iptm+ptm),P15336_model_1_multimer_score(iptm),P15336_model_1_multimer_score(ptm)
SF3B3,Q15393,ATF2,P15336,0.3339999957084656,0.23999999463558197,0.71
SRSF10,O75494,ATF2,P15336,0.23999999570846559,0.23999999463558197,0.24
SRSF3,P84103,ATF2,P15336,0.2539999923706055,0.25999999046325684,0.23
SNRPD1,P62314,ATF2,P15336,0.1620000047683716,0.15000000596046448,0.21
LAMTOR1,Q6IAA8,ATF2,P15336,0.1180000011920929,0.10000000149011612,0.19
SMIM4,Q8WVI0,ATF2,P15336,0.1359999978542328,0.11999999731779099,0.2
SDC2,P34741,ATF2,P15336,0.1359999978542328,0.11999999731779099,0.2
LYAR,Q9NX58,ATF2,P15336,0.1920000057220459,0.18000000715255737,0.24
YBX3,P16989,ATF2,P15336,0.14799999618530274,0.12999999523162842,0.22
DLAT,P10515,ATF2,P15336,0.16599999618530276,0.12999999523162842,0.31
DDB1,Q16531,ATF2,P15336,0.26399999713897704,0.1599999964237213,0.68
UQCRH,P07919,ATF2,P15336,0.1600000047683716,0.15000000596046448,0.2
TAGLN,Q01995,ATF2,P15336,0.1340000011920929,0.10000000149011612,0.27
MFAP1,P55081,ATF2,P15336,0.1399999978542328,0.11999999731779099,0.22
HNRNPH2,P55795,ATF2,P15336,0.19000000572204592,0.18000000715255737,0.23
DDRGK1,Q96HY6,ATF2,P15336,0.1240000011920929,0.10000000149011612,0.22
LEMD2,Q8NC56,ATF2,P15336,0.14199999952316283,0.10999999940395355,0.27
LASP1,Q14847,ATF2,P15336,0.22200000333786013,0.23000000417232513,0.19
SDCBP,O00560,ATF2,P15336,0.17199999618530276,0.12999999523162842,0.34
NAP1L4,Q99733,ATF2,P15336,0.4720000076293946,0.49000000953674316,0.4
VKORC1L1,Q8N0U8,ATF2,P15336,0.16599999618530276,0.12999999523162842,0.31
PDIA6,Q15084,ATF2,P15336,0.18400000476837158,0.15000000596046448,0.32
KRAS,P01116,ATF2,P15336,0.28400000858306884,0.27000001072883606,0.34
POLR2B,P30876,ATF2,P15336,0.2580000047683716,0.15000000596046448,0.69
LETM1,O95202,ATF2,P15336,0.2659999947547913,0.20999999344348907,0.49
COL3A1,P02461,ATF2,P15336,0.1900000014305115,0.17000000178813934,0.27
DDX41,Q9UJV9,ATF2,P15336,0.21400000476837158,0.15000000596046448,0.47
CAPZB,P47756,ATF2,P15336,0.41399998950958256,0.41999998688697815,0.39
GARS1,P41250,ATF2,P15336,0.22000000047683718,0.14000000059604645,0.54
TXNDC5,Q8NBS9,ATF2,P15336,0.17799999713897707,0.1599999964237213,0.25
UFL1,O94874,ATF2,P15336,0.17799999618530274,0.12999999523162842,0.37
H2AZ1,P0C0S5,ATF2,P15336,0.248,0.25,0.24
GPX1,P07203,ATF2,P15336,0.18000000047683717,0.14000000059604645,0.34
ARPC4,P59998,ATF2,P15336,0.5279999942779541,0.5699999928474426,0.36
GRSF1,Q12849,ATF2,P15336,0.1399999978542328,0.11999999731779099,0.22
DNAJA1,P31689,ATF2,P15336,0.18200000047683718,0.14000000059604645,0.35
GLRX,P35754,ATF2,P15336,0.16000000047683716,0.14000000059604645,0.24
TREX1,Q9NSU2,ATF2,P15336,0.1920000047683716,0.15000000596046448,0.36
AKR1C3,P42330,ATF2,P15336,0.21599999713897705,0.1599999964237213,0.44
MDH1,P40925,ATF2,P15336,0.2020000004768372,0.14000000059604645,0.45
RHOC,P08134,ATF2,P15336,0.2439999990463257,0.2199999988079071,0.34
LPL,P06858,ATF2,P15336,0.2620000023841858,0.20000000298023224,0.51
CHPF2,Q9P2E5,ATF2,P15336,0.45600000667572027,0.46000000834465027,0.44
PLOD1,Q02809,ATF2,P15336,0.2959999990463257,0.2199999988079071,0.6
DNAJB11,Q9UBS4,ATF2,P15336,0.16599999618530276,0.12999999523162842,0.31
EXD2,Q9NVH0,ATF2,P15336,0.27,0.25,0.35
PGAM5,Q96HS1,ATF2,P15336,0.1699999978542328,0.11999999731779099,0.37
FAF2,Q96CS3,ATF2,P15336,0.17399999618530274,0.12999999523162842,0.35
AP3D1,O14617,ATF2,P15336,0.2060000047683716,0.15000000596046448,0.43
MYO1D,O94832,ATF2,P15336,0.20199999618530273,0.12999999523162842,0.49
ATAD1,Q8NBU5,ATF2,P15336,0.17599999785423281,0.11999999731779099,0.4
SLC1A5,Q15758,ATF2,P15336,0.4160000047683716,0.4000000059604645,0.48
DHRS7B,Q6IAN0,ATF2,P15336,0.1960000004768372,0.14000000059604645,0.42
PLOD2,O00469,ATF2,P15336,0.23800000476837158,0.15000000596046448,0.59
PXDN,Q92626,ATF2,P15336,0.22600000143051147,0.17000000178813934,0.45
COLGALT1,Q8NBJ5,ATF2,P15336,0.2260000047683716,0.15000000596046448,0.53
SND1,Q7KZF4,ATF2,P15336,0.2679999947547913,0.20999999344348907,0.5
MCU,Q8NE86,ATF2,P15336,0.1519999978542328,0.11999999731779099,0.28
EIF2B4,Q9UI10,ATF2,P15336,0.1960000004768372,0.14000000059604645,0.42
IDH3B,O43837,ATF2,P15336,0.2720000033378601,0.23000000417232513,0.44
NSUN4,Q96CB9,ATF2,P15336,0.23600000572204594,0.18000000715255737,0.46
MAP7D1,Q3KQU3,ATF2,P15336,0.14199999618530273,0.12999999523162842,0.19
CCDC127,Q96BQ5,ATF2,P15336,0.29600000953674316,0.30000001192092896,0.28
BCLAF1,Q9NYF8,ATF2,P15336,0.15000000047683718,0.14000000059604645,0.19
