gene_name,accession_id,gene_name_bait,accession_id_bait,P49715_model_1_multimer_score(iptm+ptm),P49715_model_1_multimer_score(iptm),P49715_model_1_multimer_score(ptm)
HMGA2,P52926,CEBPA,P49715,0.1280000011920929,0.10000000149011612,0.24
SLC30A7,Q8NEW0,CEBPA,P49715,0.18199999618530277,0.12999999523162842,0.39
RBM14,Q96PK6,CEBPA,P49715,0.1379999978542328,0.11999999731779099,0.21
LAMTOR1,Q6IAA8,CEBPA,P49715,0.12999999952316285,0.10999999940395355,0.21
DCXR,Q7Z4W1,CEBPA,P49715,0.1680000011920929,0.10000000149011612,0.44
ZC3H15,Q8WU90,CEBPA,P49715,0.1260000011920929,0.10000000149011612,0.23
SDC2,P34741,CEBPA,P49715,0.1660000047683716,0.15000000596046448,0.23
ATF3,P18847,CEBPA,P49715,0.47200000000000003,0.5,0.36
TFE3,P19532,CEBPA,P49715,0.1660000047683716,0.15000000596046448,0.23
CALD1,Q05682,CEBPA,P49715,0.1359999978542328,0.11999999731779099,0.2
LIMA1,Q9UHB6,CEBPA,P49715,0.15000000047683718,0.14000000059604645,0.19
DCD,P81605,CEBPA,P49715,0.2100000023841858,0.20000000298023224,0.25
DDB1,Q16531,CEBPA,P49715,0.27199999713897705,0.1599999964237213,0.72
DDRGK1,Q96HY6,CEBPA,P49715,0.13599999952316283,0.10999999940395355,0.24
HSP90AB1,P08238,CEBPA,P49715,0.24799999713897705,0.1599999964237213,0.6
DSG1,Q02413,CEBPA,P49715,0.20199999713897704,0.1599999964237213,0.37
PTBP1,P26599,CEBPA,P49715,0.19199999713897706,0.1599999964237213,0.32
CREB3L1,Q96BA8,CEBPA,P49715,0.31000000190734867,0.3100000023841858,0.31
ABLIM1,O14639,CEBPA,P49715,0.14599999618530274,0.12999999523162842,0.21
MAP7D1,Q3KQU3,CEBPA,P49715,0.15000000047683718,0.14000000059604645,0.19
RTN4,Q9NQC3,CEBPA,P49715,0.17599999713897707,0.1599999964237213,0.24
LARP1B,Q659C4,CEBPA,P49715,0.18000000476837158,0.15000000596046448,0.3
CSTB,P04080,CEBPA,P49715,0.16400000047683716,0.14000000059604645,0.26
NONO,Q15233,CEBPA,P49715,0.16599999952316286,0.10999999940395355,0.39
MECP2,P51608,CEBPA,P49715,0.22399999904632567,0.2199999988079071,0.24
TRPT1,Q86TN4,CEBPA,P49715,0.20599999713897707,0.1599999964237213,0.39
HDLBP,Q00341,CEBPA,P49715,0.18999999713897706,0.1599999964237213,0.31
DBN1,Q16643,CEBPA,P49715,0.15199999618530274,0.12999999523162842,0.24
SDCBP,O00560,CEBPA,P49715,0.42399998950958256,0.41999998688697815,0.44
KRAS,P01116,CEBPA,P49715,0.2699999957084656,0.23999999463558197,0.39
MYL12B,O14950,CEBPA,P49715,0.16800000476837157,0.15000000596046448,0.24
MYL9,P24844,CEBPA,P49715,0.1940000057220459,0.18000000715255737,0.25
DLAT,P10515,CEBPA,P49715,0.15199999952316284,0.10999999940395355,0.32
STAU1,O95793,CEBPA,P49715,0.1399999978542328,0.11999999731779099,0.22
GLRX,P35754,CEBPA,P49715,0.16800000047683716,0.14000000059604645,0.28
IFI16,Q16666,CEBPA,P49715,0.16800000047683716,0.14000000059604645,0.28
COL3A1,P02461,CEBPA,P49715,0.2000000057220459,0.18000000715255737,0.28
HNRNPH1,P31943,CEBPA,P49715,0.15800000047683718,0.14000000059604645,0.23
HNRNPH2,P55795,CEBPA,P49715,0.1439999978542328,0.11999999731779099,0.24
DNAJB11,Q9UBS4,CEBPA,P49715,0.17399999618530274,0.12999999523162842,0.35
PIGR,P01833,CEBPA,P49715,0.20599999618530274,0.12999999523162842,0.51
UFL1,O94874,CEBPA,P49715,0.1739999978542328,0.11999999731779099,0.39
DNAJA1,P31689,CEBPA,P49715,0.21200000143051148,0.17000000178813934,0.38
H2AZ1,P0C0S5,CEBPA,P49715,0.21999999475479126,0.20999999344348907,0.26
ACTN1,P12814,CEBPA,P49715,0.1959999978542328,0.11999999731779099,0.5
ADARB1,P78563,CEBPA,P49715,0.2519999980926514,0.1899999976158142,0.5
TAGLN,Q01995,CEBPA,P49715,0.1579999978542328,0.11999999731779099,0.31
TGM2,P21980,CEBPA,P49715,0.26399999713897704,0.1599999964237213,0.68
TUBG1,P23258,CEBPA,P49715,0.27600000238418576,0.20000000298023224,0.58
MVP,Q14764,CEBPA,P49715,0.18800000047683718,0.14000000059604645,0.38
HBB,P68871,CEBPA,P49715,0.1639999978542328,0.11999999731779099,0.34
PIP,P12273,CEBPA,P49715,0.35600000381469726,0.3700000047683716,0.3
EMILIN1,Q9Y6C2,CEBPA,P49715,0.14799999618530274,0.12999999523162842,0.22
TBL2,Q9Y4P3,CEBPA,P49715,0.2220000047683716,0.15000000596046448,0.51
HNRNPL,P14866,CEBPA,P49715,0.16799999618530276,0.12999999523162842,0.32
CHPF2,Q9P2E5,CEBPA,P49715,0.5759999790191651,0.5899999737739563,0.52
PLOD1,Q02809,CEBPA,P49715,0.2520000047683716,0.15000000596046448,0.66
SERPINB12,Q96P63,CEBPA,P49715,0.20999999618530274,0.12999999523162842,0.53
AIMP1,Q12904,CEBPA,P49715,0.17600000047683717,0.14000000059604645,0.32
JAK1,P23458,CEBPA,P49715,0.44999998855590817,0.38999998569488525,0.69
PGAM5,Q96HS1,CEBPA,P49715,0.18599999618530275,0.12999999523162842,0.41
YWHAZ,P63104,CEBPA,P49715,0.22600000143051147,0.17000000178813934,0.45
XPOT,O43592,CEBPA,P49715,0.2700000014305115,0.17000000178813934,0.67
FAM98A,Q8NCA5,CEBPA,P49715,0.18399999713897708,0.1599999964237213,0.28
JUP,P14923,CEBPA,P49715,0.2779999947547913,0.20999999344348907,0.55
AP3D1,O14617,CEBPA,P49715,0.2040000004768372,0.14000000059604645,0.46
RTCB,Q9Y3I0,CEBPA,P49715,0.2759999980926514,0.1899999976158142,0.62
CAPZA1,P52907,CEBPA,P49715,0.22600000143051147,0.17000000178813934,0.45
NOMO3,P69849,CEBPA,P49715,0.2060000047683716,0.15000000596046448,0.43
SND1,Q7KZF4,CEBPA,P49715,0.23399999713897707,0.1599999964237213,0.53
MCU,Q8NE86,CEBPA,P49715,0.13000000286102295,0.09000000357627869,0.29
CAMK2D,Q13557,CEBPA,P49715,0.22200000143051146,0.17000000178813934,0.43
IDH3B,O43837,CEBPA,P49715,0.21200000047683717,0.14000000059604645,0.5
CPT1A,P50416,CEBPA,P49715,0.3279999957084656,0.23999999463558197,0.68
AKR1C3,P42330,CEBPA,P49715,0.1959999978542328,0.11999999731779099,0.5
TREX1,Q9NSU2,CEBPA,P49715,0.22000000143051146,0.17000000178813934,0.42
CASP14,P31944,CEBPA,P49715,0.17599999785423281,0.11999999731779099,0.4
MYO1C,O00159,CEBPA,P49715,0.2240000047683716,0.15000000596046448,0.52
G6PD,P11413,CEBPA,P49715,0.2640000057220459,0.18000000715255737,0.6
PLOD2,O00469,CEBPA,P49715,0.23399999618530276,0.12999999523162842,0.65
EIF4A1,P60842,CEBPA,P49715,0.34800000953674315,0.30000001192092896,0.54
SDHA,P31040,CEBPA,P49715,0.47800000572204593,0.4300000071525574,0.67
PXDN,Q92626,CEBPA,P49715,0.22399999713897706,0.1599999964237213,0.48
COLGALT1,Q8NBJ5,CEBPA,P49715,0.2640000057220459,0.18000000715255737,0.6
MYO1D,O94832,CEBPA,P49715,0.21600000047683718,0.14000000059604645,0.52
MYO1B,O43795,CEBPA,P49715,0.20399999618530273,0.12999999523162842,0.5
