gene_name,accession_id,gene_name_bait,accession_id_bait,P04626_model_1_multimer_score(iptm+ptm),P04626_model_1_multimer_score(iptm),P04626_model_1_multimer_score(ptm)
SRSF10,O75494,ERBB2,P04626,0.2780000033378601,0.23000000417232513,0.47
SNRPD1,P62314,ERBB2,P04626,0.20399999618530273,0.12999999523162842,0.5
DSTN,P60981,ERBB2,P04626,0.3840000114440918,0.36000001430511475,0.48
SLC30A7,Q8NEW0,ERBB2,P04626,0.21799999713897705,0.1599999964237213,0.45
SRSF3,P84103,ERBB2,P04626,0.32999999332427976,0.28999999165534973,0.49
LAMTOR1,Q6IAA8,ERBB2,P04626,0.19999999618530273,0.12999999523162842,0.48
SDC2,P34741,ERBB2,P04626,0.20800000047683717,0.14000000059604645,0.48
CSRP2,Q16527,ERBB2,P04626,0.22399999713897706,0.1599999964237213,0.48
YIF1A,O95070,ERBB2,P04626,0.22800000143051147,0.17000000178813934,0.46
FAM20B,O75063,ERBB2,P04626,0.22600000143051147,0.17000000178813934,0.45
CISD2,Q8N5K1,ERBB2,P04626,0.21800000476837159,0.15000000596046448,0.49
CSTB,P04080,ERBB2,P04626,0.41199998855590825,0.38999998569488525,0.5
TUBA4B,Q9H853,ERBB2,P04626,0.31000000858306886,0.27000001072883606,0.47
TRPT1,Q86TN4,ERBB2,P04626,0.20600000047683717,0.14000000059604645,0.47
DDRGK1,Q96HY6,ERBB2,P04626,0.2040000004768372,0.14000000059604645,0.46
KRAS,P01116,ERBB2,P04626,0.3039999923706055,0.25999999046325684,0.48
GLRX,P35754,ERBB2,P04626,0.1959999978542328,0.11999999731779099,0.5
LETM1,O95202,ERBB2,P04626,0.22600000572204593,0.18000000715255737,0.41
ADARB1,P78563,ERBB2,P04626,0.2499999947547913,0.20999999344348907,0.41
LMAN2,Q12907,ERBB2,P04626,0.4600000066757203,0.46000000834465027,0.46
UFL1,O94874,ERBB2,P04626,0.21600000143051148,0.17000000178813934,0.4
NDUFA4L2,Q9NRX3,ERBB2,P04626,0.23600000143051147,0.17000000178813934,0.5
TGM2,P21980,ERBB2,P04626,0.24199999809265138,0.1899999976158142,0.45
FHL2,Q14192,ERBB2,P04626,0.2040000004768372,0.14000000059604645,0.46
RAB11B,Q15907,ERBB2,P04626,0.3979999961853028,0.3799999952316284,0.47
C4BPA,P04003,ERBB2,P04626,0.22200000143051146,0.17000000178813934,0.43
GFPT1,Q06210,ERBB2,P04626,0.23200000572204593,0.18000000715255737,0.44
DHRS7B,Q6IAN0,ERBB2,P04626,0.2100000047683716,0.15000000596046448,0.45
APMAP,Q9HDC9,ERBB2,P04626,0.22400000143051146,0.17000000178813934,0.44
ASS1,P00966,ERBB2,P04626,0.21599999713897705,0.1599999964237213,0.44
AKR1C3,P42330,ERBB2,P04626,0.23600000572204594,0.18000000715255737,0.46
DNAJB11,Q9UBS4,ERBB2,P04626,0.2599999947547913,0.20999999344348907,0.46
EXD2,Q9NVH0,ERBB2,P04626,0.22000000143051146,0.17000000178813934,0.42
NDUFA7,O95182,ERBB2,P04626,0.20399999618530273,0.12999999523162842,0.5
BSG,P35613,ERBB2,P04626,0.22600000143051147,0.17000000178813934,0.45
PPA2,Q9H2U2,ERBB2,P04626,0.3239999933242798,0.28999999165534973,0.46
GPX1,P07203,ERBB2,P04626,0.32799999332427976,0.28999999165534973,0.48
PGAM5,Q96HS1,ERBB2,P04626,0.2120000047683716,0.15000000596046448,0.46
EIF2B4,Q9UI10,ERBB2,P04626,0.21399999713897705,0.1599999964237213,0.43
IDH3B,O43837,ERBB2,P04626,0.21799999713897705,0.1599999964237213,0.45
DKC1,O60832,ERBB2,P04626,0.3919999961853028,0.3799999952316284,0.44
SPATS2L,Q9NUQ6,ERBB2,P04626,0.2040000047683716,0.15000000596046448,0.42
