gene_name,accession_id,gene_name_bait,accession_id_bait,P35221_model_1_multimer_score(iptm+ptm),P35221_model_1_multimer_score(iptm),P35221_model_1_multimer_score(ptm)
CAPNS1,P04632,CTNNA1,P35221,0.21800000047683718,0.14000000059604645,0.53
YBX3,P16989,CTNNA1,P35221,0.21800000047683718,0.14000000059604645,0.53
PEX16,Q9Y5Y5,CTNNA1,P35221,0.21600000047683718,0.14000000059604645,0.52
MARVELD1,Q9BSK0,CTNNA1,P35221,0.21599999618530275,0.12999999523162842,0.56
CRIPT,Q9P021,CTNNA1,P35221,0.19800000119209288,0.10000000149011612,0.59
COX7A2,P14406,CTNNA1,P35221,0.20799999952316284,0.10999999940395355,0.6
CAVIN3,Q969G5,CTNNA1,P35221,0.2059999978542328,0.11999999731779099,0.55
AOC3,Q16853,CTNNA1,P35221,0.24000000143051148,0.17000000178813934,0.52
APOE,P02649,CTNNA1,P35221,0.2039999978542328,0.11999999731779099,0.54
AGPAT1,Q99943,CTNNA1,P35221,0.2019999978542328,0.11999999731779099,0.53
AGPAT2,O15120,CTNNA1,P35221,0.2019999978542328,0.11999999731779099,0.53
SELENOS,Q9BQE4,CTNNA1,P35221,0.19999999952316286,0.10999999940395355,0.56
OCIAD1,Q9NX40,CTNNA1,P35221,0.2580000057220459,0.18000000715255737,0.57
TMED9,Q9BVK6,CTNNA1,P35221,0.19599999952316285,0.10999999940395355,0.54
DCAKD,Q8WVC6,CTNNA1,P35221,0.2019999978542328,0.11999999731779099,0.53
SMIM20,Q8N5G0,CTNNA1,P35221,0.22599999618530275,0.12999999523162842,0.61
COX20,Q5RI15,CTNNA1,P35221,0.19600000119209288,0.10000000149011612,0.58
DDX41,Q9UJV9,CTNNA1,P35221,0.21799999713897705,0.1599999964237213,0.45
ECHDC1,Q9NTX5,CTNNA1,P35221,0.21800000047683718,0.14000000059604645,0.53
DDX17,Q92841,CTNNA1,P35221,0.21599999713897705,0.1599999964237213,0.44
VKORC1L1,Q8N0U8,CTNNA1,P35221,0.21599999618530275,0.12999999523162842,0.56
CDC42,P60953,CTNNA1,P35221,0.24400000143051148,0.17000000178813934,0.54
RAB29,O14966,CTNNA1,P35221,0.6779999980926514,0.6899999976158142,0.63
RDH13,Q8NBN7,CTNNA1,P35221,0.21400000047683718,0.14000000059604645,0.51
COX5A,P20674,CTNNA1,P35221,0.22600000047683716,0.14000000059604645,0.57
TCP1,P17987,CTNNA1,P35221,0.2040000004768372,0.14000000059604645,0.46
ILVBL,A1L0T0,CTNNA1,P35221,0.22199999713897706,0.1599999964237213,0.47
DDX51,Q8N8A6,CTNNA1,P35221,0.33400000953674314,0.30000001192092896,0.47
FAF2,Q96CS3,CTNNA1,P35221,0.21200000047683717,0.14000000059604645,0.5
ARPC5,O15511,CTNNA1,P35221,0.20799999785423282,0.11999999731779099,0.56
CAMK2D,Q13557,CTNNA1,P35221,0.20800000047683717,0.14000000059604645,0.48
SRP72,O76094,CTNNA1,P35221,0.21400000476837158,0.15000000596046448,0.47
RAB10,P61026,CTNNA1,P35221,0.23599999713897707,0.1599999964237213,0.54
SLC25A20,O43772,CTNNA1,P35221,0.20799999618530274,0.12999999523162842,0.52
ETF1,P62495,CTNNA1,P35221,0.20199999618530273,0.12999999523162842,0.49
DDX39B,Q13838,CTNNA1,P35221,0.21800000476837159,0.15000000596046448,0.49
CHPF2,Q9P2E5,CTNNA1,P35221,0.2100000047683716,0.15000000596046448,0.45
COL6A2,P12110,CTNNA1,P35221,0.2739999957084656,0.23999999463558197,0.41
LMAN2,Q12907,CTNNA1,P35221,0.23199999713897707,0.1599999964237213,0.52
TUSC3,Q13454,CTNNA1,P35221,0.21400000047683718,0.14000000059604645,0.51
MTARC1,Q5VT66,CTNNA1,P35221,0.2260000047683716,0.15000000596046448,0.53
ADH1B,P00325,CTNNA1,P35221,0.20599999618530274,0.12999999523162842,0.51
ERCC3,P19447,CTNNA1,P35221,0.2120000047683716,0.15000000596046448,0.46
CUL3,Q13618,CTNNA1,P35221,0.2080000047683716,0.15000000596046448,0.44
