gene_name,accession_id,gene_name_bait,accession_id_bait,P10242_model_1_multimer_score(iptm+ptm),P10242_model_1_multimer_score(iptm),P10242_model_1_multimer_score(ptm)
IGHG1,P01857,MYB,P10242,0.1559999978542328,0.11999999731779099,0.3
TPM3,P06753,MYB,P10242,0.13799999952316283,0.10999999940395355,0.25
POF1B,Q8WVV4,MYB,P10242,0.16000000047683716,0.14000000059604645,0.24
LANCL1,O43813,MYB,P10242,0.34799999427795414,0.3199999928474426,0.46
CSTA,P01040,MYB,P10242,0.2040000057220459,0.18000000715255737,0.3
KPRP,Q5T749,MYB,P10242,0.15399999618530275,0.12999999523162842,0.25
DEFA1B,P59665,MYB,P10242,0.23199999475479127,0.20999999344348907,0.32
PURA,Q00577,MYB,P10242,0.17400000476837157,0.15000000596046448,0.27
DSC1,P53805,MYB,P10242,0.1499999978542328,0.11999999731779099,0.27
S100A14,Q9HCY8,MYB,P10242,0.33800000286102294,0.3400000035762787,0.33
PDCD6,O75340,MYB,P10242,0.1519999978542328,0.11999999731779099,0.28
DDB1,Q16531,MYB,P10242,0.2660000014305115,0.17000000178813934,0.65
LARP1B,Q659C4,MYB,P10242,0.17400000476837157,0.15000000596046448,0.27
PSMB5,P28074,MYB,P10242,0.2220000023841858,0.20000000298023224,0.31
DCXR,Q7Z4W1,MYB,P10242,0.15599999952316285,0.10999999940395355,0.34
LMNA,P02545,MYB,P10242,0.15800000047683718,0.14000000059604645,0.23
EEF1G,P26641,MYB,P10242,0.23599999904632568,0.2199999988079071,0.3
S100A8,P05109,MYB,P10242,0.21199999809265138,0.1899999976158142,0.3
SERPINA12,Q8IW75,MYB,P10242,0.17799999785423282,0.11999999731779099,0.41
FLG,P11362,MYB,P10242,0.17400000047683717,0.14000000059604645,0.31
CALML5,Q9NZT1,MYB,P10242,0.27400000858306883,0.27000001072883606,0.29
CALM1,P0DP23,MYB,P10242,0.23399999904632568,0.2199999988079071,0.29
CALML3,P27482,MYB,P10242,0.2180000023841858,0.20000000298023224,0.29
DSG1,Q02413,MYB,P10242,0.18600000476837159,0.15000000596046448,0.33
SFN,P31947,MYB,P10242,0.18000000047683717,0.14000000059604645,0.34
HSP90AB1,P08238,MYB,P10242,0.2699999947547913,0.20999999344348907,0.51
ASPRV1,Q53RT3,MYB,P10242,0.16199999618530275,0.12999999523162842,0.29
MVP,Q14764,MYB,P10242,0.18400000047683718,0.14000000059604645,0.36
SBSN,Q6UWP8,MYB,P10242,0.15399999618530275,0.12999999523162842,0.25
SYPL1,Q16563,MYB,P10242,0.16799999618530276,0.12999999523162842,0.32
CDSN,Q15517,MYB,P10242,0.16400000047683716,0.14000000059604645,0.26
AZGP1,P25311,MYB,P10242,0.23200000238418578,0.20000000298023224,0.36
LYZ,P61626,MYB,P10242,0.21199999809265138,0.1899999976158142,0.3
GSDMA,Q96QA5,MYB,P10242,0.18599999618530275,0.12999999523162842,0.41
PSMB2,P49721,MYB,P10242,0.14799999952316284,0.10999999940395355,0.3
NCCRP1,Q6ZVX7,MYB,P10242,0.17600000047683717,0.14000000059604645,0.32
LMAN2,Q12907,MYB,P10242,0.18600000476837159,0.15000000596046448,0.33
PSMB4,P28070,MYB,P10242,0.21399999809265138,0.1899999976158142,0.31
ARPC4,P59998,MYB,P10242,0.28800000095367434,0.2800000011920929,0.32
GLRX,P35754,MYB,P10242,0.14599999952316284,0.10999999940395355,0.29
ASAH1,Q13510,MYB,P10242,0.2939999923706055,0.25999999046325684,0.43
CTSD,P07339,MYB,P10242,0.17799999785423282,0.11999999731779099,0.41
CPA4,Q9UI42,MYB,P10242,0.19199999618530275,0.12999999523162842,0.44
TPP1,O14773,MYB,P10242,0.20599999618530274,0.12999999523162842,0.51
CPM,P14384,MYB,P10242,0.2100000047683716,0.15000000596046448,0.45
LCN1,P31025,MYB,P10242,0.2919999933242798,0.28999999165534973,0.3
PIP,P12273,MYB,P10242,0.2519999957084656,0.23999999463558197,0.3
PSMA1,P25786,MYB,P10242,0.4479999990463257,0.4699999988079071,0.36
PSMA7,O14818,MYB,P10242,0.16999999618530276,0.12999999523162842,0.33
NOMO3,P69849,MYB,P10242,0.20399999713897707,0.1599999964237213,0.38
PSMB1,P20618,MYB,P10242,0.14999999952316284,0.10999999940395355,0.31
ECM1,Q16610,MYB,P10242,0.23400000238418578,0.20000000298023224,0.37
GGH,Q92820,MYB,P10242,0.16199999952316285,0.10999999940395355,0.37
JUP,P14923,MYB,P10242,0.27199999904632566,0.2199999988079071,0.48
TM9SF3,Q9HD45,MYB,P10242,0.24600000572204592,0.18000000715255737,0.51
GGCT,O75223,MYB,P10242,0.33800000286102294,0.3400000035762787,0.33
PNP,P00491,MYB,P10242,0.16199999952316285,0.10999999940395355,0.37
COPB2,P35606,MYB,P10242,0.21600000476837158,0.15000000596046448,0.48
VCL,P18206,MYB,P10242,0.24599999713897705,0.1599999964237213,0.59
TM9SF4,Q92544,MYB,P10242,0.23199999713897707,0.1599999964237213,0.52
TGM1,P22735,MYB,P10242,0.2280000047683716,0.15000000596046448,0.54
ACTR3,P61158,MYB,P10242,0.3759999952316284,0.3499999940395355,0.48
HBB,P68871,MYB,P10242,0.23599999904632568,0.2199999988079071,0.3
FABP5,Q01469,MYB,P10242,0.17200000047683717,0.14000000059604645,0.3
GANAB,Q14697,MYB,P10242,0.251999997138977,0.1599999964237213,0.62
CAPZA1,P52907,MYB,P10242,0.2659999957084656,0.23999999463558197,0.37
TM9SF2,Q99805,MYB,P10242,0.2660000023841858,0.20000000298023224,0.53
LAMP1,P11279,MYB,P10242,0.15799999618530275,0.12999999523162842,0.27
S100A7,P31151,MYB,P10242,0.21399999809265138,0.1899999976158142,0.31
PKP1,Q13835,MYB,P10242,0.21399999713897705,0.1599999964237213,0.43
LGALS7B,P47929,MYB,P10242,0.17800000476837158,0.15000000596046448,0.29
DSC3,Q02487,MYB,P10242,0.20800000143051145,0.17000000178813934,0.36
TM7SF2,O76062,MYB,P10242,0.23400000572204593,0.18000000715255737,0.45
