gene_name,accession_id,gene_name_bait,accession_id_bait,P40763_model_1_multimer_score(iptm+ptm),P40763_model_1_multimer_score(iptm),P40763_model_1_multimer_score(ptm)
THRAP3,Q9Y2W1,STAT3,P40763,0.2080000047683716,0.15000000596046448,0.44
YIPF5,Q969M3,STAT3,P40763,0.24399999713897705,0.1599999964237213,0.58
LSM14A,Q8ND56,STAT3,P40763,0.1979999978542328,0.11999999731779099,0.51
UQCRH,P07919,STAT3,P40763,0.23399999618530276,0.12999999523162842,0.65
LAMTOR1,Q6IAA8,STAT3,P40763,0.21199999952316284,0.10999999940395355,0.62
YIF1A,O95070,STAT3,P40763,0.2320000047683716,0.15000000596046448,0.56
SLC30A7,Q8NEW0,STAT3,P40763,0.2280000047683716,0.15000000596046448,0.54
PEX16,Q9Y5Y5,STAT3,P40763,0.3019999957084656,0.23999999463558197,0.55
COX7A2,P14406,STAT3,P40763,0.21799999952316285,0.10999999940395355,0.65
YBX3,P16989,STAT3,P40763,0.2039999978542328,0.11999999731779099,0.54
MAP7D1,Q3KQU3,STAT3,P40763,0.2100000047683716,0.15000000596046448,0.45
DDRGK1,Q96HY6,STAT3,P40763,0.21599999618530275,0.12999999523162842,0.56
SRRM1,Q8IYB3,STAT3,P40763,0.2080000047683716,0.15000000596046448,0.44
RBM39,Q14498,STAT3,P40763,0.21400000047683718,0.14000000059604645,0.51
CSTB,P04080,STAT3,P40763,0.2680000014305115,0.17000000178813934,0.66
DNAJC19,Q96DA6,STAT3,P40763,0.2080000011920929,0.10000000149011612,0.64
DDB1,Q16531,STAT3,P40763,0.2560000014305115,0.17000000178813934,0.6
GARS1,P41250,STAT3,P40763,0.21600000476837158,0.15000000596046448,0.48
LYAR,Q9NX58,STAT3,P40763,0.2639999980926514,0.1899999976158142,0.56
ABHD12,Q8N2K0,STAT3,P40763,0.25000000572204595,0.18000000715255737,0.53
CISD3,P0C7P0,STAT3,P40763,0.23199999618530276,0.12999999523162842,0.64
KRAS,P01116,STAT3,P40763,0.324,0.25,0.62
TUBA4B,Q9H853,STAT3,P40763,0.2560000014305115,0.17000000178813934,0.6
JAK1,P23458,STAT3,P40763,0.24800000143051149,0.17000000178813934,0.56
LMAN2,Q12907,STAT3,P40763,0.22200000047683718,0.14000000059604645,0.55
VCL,P18206,STAT3,P40763,0.24800000143051149,0.17000000178813934,0.56
GHITM,Q9H3K2,STAT3,P40763,0.21199999618530274,0.12999999523162842,0.54
RCN2,Q14257,STAT3,P40763,0.36000000953674316,0.30000001192092896,0.6
CHPF2,Q9P2E5,STAT3,P40763,0.2120000047683716,0.15000000596046448,0.46
LOX,P28300,STAT3,P40763,0.2260000047683716,0.15000000596046448,0.53
GPX1,P07203,STAT3,P40763,0.22399999618530275,0.12999999523162842,0.6
HLA-A,P04439,STAT3,P40763,0.2039999978542328,0.11999999731779099,0.54
MVP,Q14764,STAT3,P40763,0.21799999713897705,0.1599999964237213,0.45
GLRX,P35754,STAT3,P40763,0.3619999933242798,0.28999999165534973,0.65
GFPT1,Q06210,STAT3,P40763,0.22599999713897706,0.1599999964237213,0.49
YWHAZ,P63104,STAT3,P40763,0.23000000047683716,0.14000000059604645,0.59
RDH13,Q8NBN7,STAT3,P40763,0.2639999980926514,0.1899999976158142,0.56
APMAP,Q9HDC9,STAT3,P40763,0.25200000572204595,0.18000000715255737,0.54
SCCPDH,Q8NBX0,STAT3,P40763,0.20799999618530274,0.12999999523162842,0.52
MDH1,P40925,STAT3,P40763,0.21399999618530274,0.12999999523162842,0.55
ASS1,P00966,STAT3,P40763,0.20999999618530274,0.12999999523162842,0.53
AKR1C3,P42330,STAT3,P40763,0.21599999618530275,0.12999999523162842,0.56
PGAM5,Q96HS1,STAT3,P40763,0.22600000047683716,0.14000000059604645,0.57
MCU,Q8NE86,STAT3,P40763,0.2300000047683716,0.15000000596046448,0.55
IDH3B,O43837,STAT3,P40763,0.2300000047683716,0.15000000596046448,0.55
CAMK2D,Q13557,STAT3,P40763,0.24000000143051148,0.17000000178813934,0.52
CSNK1A1,P48729,STAT3,P40763,0.3780000104904175,0.33000001311302185,0.57
VKORC1L1,Q8N0U8,STAT3,P40763,0.2159999978542328,0.11999999731779099,0.6
NDUFA4L2,Q9NRX3,STAT3,P40763,0.24200000047683717,0.14000000059604645,0.65
