gene_name,accession_id,gene_name_bait,accession_id_bait,P01100_model_1_multimer_score(iptm+ptm),P01100_model_1_multimer_score(iptm),P01100_model_1_multimer_score(ptm)
SF3B3,Q15393,FOS,P01100,0.27799999713897705,0.1599999964237213,0.75
ARPC2,O15144,FOS,P01100,0.18399999785423282,0.11999999731779099,0.44
MARCKS,P29966,FOS,P01100,0.11000000286102296,0.09000000357627869,0.19
CAPNS1,P04632,FOS,P01100,0.20400000143051147,0.17000000178813934,0.34
MATR3,P43243,FOS,P01100,0.15400000047683718,0.14000000059604645,0.21
LANCL1,O43813,FOS,P01100,0.23999999713897707,0.1599999964237213,0.56
ARL6IP4,Q66PJ3,FOS,P01100,0.1339999978542328,0.11999999731779099,0.19
MAP7D1,Q3KQU3,FOS,P01100,0.1339999978542328,0.11999999731779099,0.19
PRPF40A,O75400,FOS,P01100,0.23000000238418578,0.20000000298023224,0.35
MARVELD1,Q9BSK0,FOS,P01100,0.18000000047683717,0.14000000059604645,0.34
ATP5PD,O75947,FOS,P01100,0.11800000286102297,0.09000000357627869,0.23
FYTTD1,Q96QD9,FOS,P01100,0.1200000011920929,0.10000000149011612,0.2
OCIAD1,Q9NX40,FOS,P01100,0.13599999952316283,0.10999999940395355,0.24
SPCS3,P61009,FOS,P01100,0.18000000047683717,0.14000000059604645,0.34
THY1,P04216,FOS,P01100,0.15799999618530275,0.12999999523162842,0.27
SERPINE2,P07093,FOS,P01100,0.19199999952316285,0.10999999940395355,0.52
SMIM20,Q8N5G0,FOS,P01100,0.15600000047683718,0.14000000059604645,0.22
HNRNPA3,P51991,FOS,P01100,0.14999999952316284,0.10999999940395355,0.31
FKBP11,Q9NYL4,FOS,P01100,0.1519999978542328,0.11999999731779099,0.28
COX20,Q5RI15,FOS,P01100,0.11200000286102296,0.09000000357627869,0.2
VKORC1L1,Q8N0U8,FOS,P01100,0.15599999952316285,0.10999999940395355,0.34
TMED9,Q9BVK6,FOS,P01100,0.13600000286102296,0.09000000357627869,0.32
DCAKD,Q8WVC6,FOS,P01100,0.20799999713897707,0.1599999964237213,0.4
PRXL2A,Q9BRX8,FOS,P01100,0.1960000047683716,0.15000000596046448,0.38
NCLN,Q969V3,FOS,P01100,0.22600000047683716,0.14000000059604645,0.57
COX7A2,P14406,FOS,P01100,0.15800000047683718,0.14000000059604645,0.23
CERS2,Q96G23,FOS,P01100,0.1899999978542328,0.11999999731779099,0.47
DDX17,Q92841,FOS,P01100,0.23000000143051147,0.17000000178813934,0.47
RDH11,Q8TC12,FOS,P01100,0.18799999785423283,0.11999999731779099,0.46
