gene_name,accession_id,gene_name_bait,accession_id_bait,P49716_model_1_multimer_score(iptm+ptm),P49716_model_1_multimer_score(iptm),P49716_model_1_multimer_score(ptm)
THRAP3,Q9Y2W1,CEBPD,P49716,0.1580000047683716,0.15000000596046448,0.19
ACAA2,P42765,CEBPD,P49716,0.21199999952316284,0.10999999940395355,0.62
SRSF3,P84103,CEBPD,P49716,0.256,0.25,0.28
ATF3,P18847,CEBPD,P49716,0.4700000076293946,0.49000000953674316,0.39
PGRMC2,O15173,CEBPD,P49716,0.16999999618530276,0.12999999523162842,0.33
DCD,P81605,CEBPD,P49716,0.16200000047683716,0.14000000059604645,0.25
CHTOP,Q9Y3Y2,CEBPD,P49716,0.11400000286102296,0.09000000357627869,0.21
SRSF7,Q16629,CEBPD,P49716,0.22999999904632568,0.2199999988079071,0.27
RBM14,Q96PK6,CEBPD,P49716,0.1399999978542328,0.11999999731779099,0.22
U2AF1,Q01081,CEBPD,P49716,0.20999999713897705,0.1599999964237213,0.41
LUC7L2,Q9Y383,CEBPD,P49716,0.21199999713897705,0.1599999964237213,0.42
CALD1,Q05682,CEBPD,P49716,0.1359999978542328,0.11999999731779099,0.2
EWSR1,Q01844,CEBPD,P49716,0.14599999618530274,0.12999999523162842,0.21
MTDH,Q86UE4,CEBPD,P49716,0.11600000119209289,0.10000000149011612,0.18
EEF1G,P26641,CEBPD,P49716,0.17999999618530277,0.12999999523162842,0.38
CAV1,Q03135,CEBPD,P49716,0.11799999856948853,0.07999999821186066,0.27
PUF60,Q9UHX1,CEBPD,P49716,0.1880000047683716,0.15000000596046448,0.34
PTGES,O14684,CEBPD,P49716,0.18199999618530277,0.12999999523162842,0.39
DLAT,P10515,CEBPD,P49716,0.18000000047683717,0.14000000059604645,0.34
FBL,P22087,CEBPD,P49716,0.29400000000000004,0.25,0.47
SNRNP27,Q8WVK2,CEBPD,P49716,0.13399999952316285,0.10999999940395355,0.23
DDX46,Q7L014,CEBPD,P49716,0.22400000143051146,0.17000000178813934,0.44
SNRPD2,P62316,CEBPD,P49716,0.27799999237060546,0.25999999046325684,0.35
CYCS,P99999,CEBPD,P49716,0.15199999952316284,0.10999999940395355,0.32
PHB,P35232,CEBPD,P49716,0.4420000057220459,0.4300000071525574,0.49
HNRNPL,P14866,CEBPD,P49716,0.1880000047683716,0.15000000596046448,0.34
TAGLN,Q01995,CEBPD,P49716,0.1659999978542328,0.11999999731779099,0.35
OGN,P20774,CEBPD,P49716,0.3239999933242798,0.28999999165534973,0.46
PDIA3,P30101,CEBPD,P49716,0.19999999952316286,0.10999999940395355,0.56
HNRNPR,O43390,CEBPD,P49716,0.2639999947547913,0.20999999344348907,0.48
S100A11,P31949,CEBPD,P49716,0.4439999990463257,0.4699999988079071,0.34
RPN1,P04843,CEBPD,P49716,0.2099999978542328,0.11999999731779099,0.57
PLIN4,Q96Q06,CEBPD,P49716,0.17799999713897707,0.1599999964237213,0.25
SNRNP70,P08621,CEBPD,P49716,0.13400000286102295,0.09000000357627869,0.31
PDHA1,P08559,CEBPD,P49716,0.2139999978542328,0.11999999731779099,0.59
LASP1,Q14847,CEBPD,P49716,0.14599999618530274,0.12999999523162842,0.21
TST,Q16762,CEBPD,P49716,0.22200000047683718,0.14000000059604645,0.55
CTSA,P10619,CEBPD,P49716,0.22999999618530276,0.12999999523162842,0.63
MDH2,P40926,CEBPD,P49716,0.2059999978542328,0.11999999731779099,0.55
ILF3,Q12906,CEBPD,P49716,0.21600000143051148,0.17000000178813934,0.4
ILF2,Q12905,CEBPD,P49716,0.21199999618530274,0.12999999523162842,0.54
SFXN3,Q9BWM7,CEBPD,P49716,0.25000000572204595,0.18000000715255737,0.53
APMAP,Q9HDC9,CEBPD,P49716,0.20199999952316283,0.10999999940395355,0.57
PFKP,Q01813,CEBPD,P49716,0.25800000047683713,0.14000000059604645,0.73
SDHA,P31040,CEBPD,P49716,0.4979999980926514,0.4399999976158142,0.73
AKR1C3,P42330,CEBPD,P49716,0.21599999618530275,0.12999999523162842,0.56
ANXA1,P04083,CEBPD,P49716,0.22600000047683716,0.14000000059604645,0.57
HSPA1A,P0DMV8,CEBPD,P49716,0.3059999990463257,0.2199999988079071,0.65
LDHA,P00338,CEBPD,P49716,0.19400000119209287,0.10000000149011612,0.57
ETFB,P38117,CEBPD,P49716,0.21000000047683717,0.14000000059604645,0.49
COL1A2,P08123,CEBPD,P49716,0.23399999904632568,0.2199999988079071,0.29
DHX9,Q08211,CEBPD,P49716,0.27600000143051145,0.17000000178813934,0.7
CHMP2B,Q9UQN3,CEBPD,P49716,0.26799999237060546,0.25999999046325684,0.3
CHMP3,Q9Y3E7,CEBPD,P49716,0.18400000047683718,0.14000000059604645,0.36
SRSF1,Q07955,CEBPD,P49716,0.24400000333786012,0.23000000417232513,0.3
LSM14A,Q8ND56,CEBPD,P49716,0.14399999618530274,0.12999999523162842,0.2
