gene_name,accession_id,gene_name_bait,accession_id_bait,P18847_model_1_multimer_score(iptm+ptm),P18847_model_1_multimer_score(iptm),P18847_model_1_multimer_score(ptm)
ALYREF,Q86V81,ATF3,P18847,0.11399999856948853,0.07999999821186066,0.25
TCF7,P36402,ATF3,P18847,0.30800000190734866,0.3100000023841858,0.3
RPA2,P15927,ATF3,P18847,0.18000000047683717,0.14000000059604645,0.34
MRPL57,Q9BQC6,ATF3,P18847,0.10399999892711641,0.05999999865889549,0.28
U2AF1,Q01081,ATF3,P18847,0.19599999618530276,0.12999999523162842,0.46
MAP7D1,Q3KQU3,ATF3,P18847,0.1339999978542328,0.11999999731779099,0.19
APOE,P02649,ATF3,P18847,0.1460000011920929,0.10000000149011612,0.33
COX20,Q5RI15,ATF3,P18847,0.10800000023841859,0.07000000029802322,0.26
PCBP1,Q15365,ATF3,P18847,0.16399999952316285,0.10999999940395355,0.38
ADD1,P35611,ATF3,P18847,0.16399999952316285,0.10999999940395355,0.38
LARP1B,Q659C4,ATF3,P18847,0.19399999713897706,0.1599999964237213,0.33
PPP1R12A,O14974,ATF3,P18847,0.4499999914169312,0.47999998927116394,0.33
RPA3,P35244,ATF3,P18847,0.1360000002384186,0.07000000029802322,0.4
SMIM20,Q8N5G0,ATF3,P18847,0.1259999985694885,0.07999999821186066,0.31
U2AF2,P26368,ATF3,P18847,0.15999999952316285,0.10999999940395355,0.36
SFPQ,P23246,ATF3,P18847,0.1739999978542328,0.11999999731779099,0.39
CEBPD,P49716,ATF3,P18847,0.4700000076293946,0.49000000953674316,0.39
CEBPA,P49715,ATF3,P18847,0.47200000000000003,0.5,0.36
ZNF384,Q8TF68,ATF3,P18847,0.2120000023841858,0.2000000029802322,0.26
FAP,Q12884,ATF3,P18847,0.3239999947547913,0.20999999344348907,0.78
ARL8A,Q96BM9,ATF3,P18847,0.3660000104904175,0.33000001311302185,0.51
SDF4,Q9BRK5,ATF3,P18847,0.2659999980926514,0.1899999976158142,0.57
CHMP4B,Q9H444,ATF3,P18847,0.11800000023841858,0.07000000029802322,0.31
CHMP3,Q9Y3E7,ATF3,P18847,0.13999999856948853,0.07999999821186066,0.38
DLAT,P10515,ATF3,P18847,0.1500000011920929,0.10000000149011612,0.35
CCN1,O00622,ATF3,P18847,0.14200000119209288,0.10000000149011612,0.31
DDX41,Q9UJV9,ATF3,P18847,0.2119999978542328,0.11999999731779099,0.58
PUF60,Q9UHX1,ATF3,P18847,0.1659999978542328,0.11999999731779099,0.35
IGF2BP3,O00425,ATF3,P18847,0.16599999618530276,0.12999999523162842,0.31
BANF1,O75531,ATF3,P18847,0.1900000047683716,0.15000000596046448,0.35
NFIX,Q14938,ATF3,P18847,0.34199999427795413,0.3199999928474426,0.43
NFIC,P08651,ATF3,P18847,0.2500000033378601,0.2300000041723251,0.33
LUC7L2,Q9Y383,ATF3,P18847,0.2519999947547913,0.20999999344348907,0.42
DDX17,Q92841,ATF3,P18847,0.20999999618530274,0.12999999523162842,0.53
RPA1,P27694,ATF3,P18847,0.1679999978542328,0.11999999731779099,0.36
